1	0.259	0.456	0.599	0.518
2	0.255	0.462	0.608	0.525
3	0.263	0.444	0.594	0.509
4	0.227	0.490	0.615	0.545
5	0.222	0.501	0.631	0.559
6	0.220	0.519	0.612	0.562
7	0.216	0.480	0.640	0.549
8	0.215	0.518	0.636	0.571
9	0.213	0.491	0.639	0.555
10	0.212	0.507	0.647	0.569
11	0.203	0.542	0.683	0.604
12	0.208	0.532	0.674	0.595
13	0.200	0.544	0.670	0.601
14	0.200	0.528	0.668	0.590
15	0.198	0.541	0.667	0.597
16	0.198	0.541	0.678	0.602
17	0.197	0.543	0.668	0.599
18	0.196	0.542	0.674	0.601
19	0.197	0.546	0.687	0.609
20	0.198	0.542	0.684	0.605
21	0.198	0.536	0.673	0.596
22	0.197	0.540	0.680	0.602
23	0.199	0.539	0.670	0.597
24	0.197	0.526	0.664	0.587
25	0.197	0.543	0.683	0.605
26	0.198	0.527	0.668	0.589
27	0.198	0.537	0.678	0.599
28	0.198	0.535	0.677	0.598
29	0.197	0.538	0.664	0.594
30	0.197	0.543	0.676	0.602

0.210	0.591	0.652	0.620
